127.0.0.1 - - [02/Nov/2023:08:57:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:00 +0900] "GET /ddit-api-test/ HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:00 +0900] "GET /ddit-api-test/resources/css/dashboard.css HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:00 +0900] "GET /ddit-api-test/resources/js/jquery.serializejson.js HTTP/1.1" 200 15952
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:00 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/css/bootstrap.min.css HTTP/1.1" 200 232953
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:00 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 80669
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:00 +0900] "GET /ddit-api-test/resources/js/jquery-3.7.1.min.js HTTP/1.1" 200 87535
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:12 +0900] "GET /ddit-api-test/calendarUI HTTP/1.1" 200 5919
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:12 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/css/bootstrap.min.css HTTP/1.1" 200 232953
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:12 +0900] "GET /ddit-api-test/resources/js/jquery-3.7.1.min.js HTTP/1.1" 200 87535
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:12 +0900] "GET /ddit-api-test/resources/js/jquery.serializejson.js HTTP/1.1" 200 15952
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:12 +0900] "GET /ddit-api-test/resources/css/dashboard.css HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [02/Nov/2023:08:58:12 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 80669
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:01 +0900] "GET /ddit-api-test/calendarUI HTTP/1.1" 200 6021
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:01 +0900] "GET /ddit-api-test/resources/js/jquery-3.7.1.min.js HTTP/1.1" 200 87535
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:01 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/css/bootstrap.min.css HTTP/1.1" 200 232953
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:01 +0900] "GET /ddit-api-test/resources/js/jquery.serializejson.js HTTP/1.1" 200 15952
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:01 +0900] "GET /ddit-api-test/resources/css/dashboard.css HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:01 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 80669
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:05 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/css/bootstrap.min.css HTTP/1.1" 200 232953
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:05 +0900] "GET /ddit-api-test/resources/css/dashboard.css HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:05 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331886
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:05 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/css/bootstrap.min.css.map HTTP/1.1" 200 589161
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:00:07 +0900] "GET /ddit-api-test/getEventList HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:43 +0900] "GET /ddit-api-test/calendarUI HTTP/1.1" 200 6079
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:43 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 80669
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:43 +0900] "GET /ddit-api-test/resources/js/jquery.serializejson.js HTTP/1.1" 200 15952
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:43 +0900] "GET /ddit-api-test/resources/css/dashboard.css HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:43 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/css/bootstrap.min.css HTTP/1.1" 200 232953
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:43 +0900] "GET /ddit-api-test/resources/js/jquery-3.7.1.min.js HTTP/1.1" 200 87535
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:44 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331886
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:44 +0900] "GET /ddit-api-test/resources/js/bootstrap-5.3.2-dist/css/bootstrap.min.css.map HTTP/1.1" 200 589161
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:02:46 +0900] "GET /ddit-api-test/getEventList HTTP/1.1" 200 258
